,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
b0039,-0.004034038099562382,-0.013567158894225608,0.01271898522026126,0.0009774973410701263,0.008674304905684355,-0.011408171267310046,-0.001445007794865657,-0.012467089998070892,-0.014042089987531805,0.007539089641158502,0.0005707541057781072,0.015461430527884347,-0.009721580107490078,-0.012318119076582899,-0.010499545540771722,-0.009829401787410244,-0.02191106655848817,-0.008264058537895299,-0.003924937773369475,-0.020317532595285324
b0040,0.0003460178900367202,-0.006961949816045745,0.010513439613082569,-0.008486086919172277,-0.005698899972033012,-0.008764399154372507,-0.001710240337081959,0.0032062725292573147,-0.0028486246762837674,0.00043741908841902404,-0.0009646590975961305,0.0020191457060875495,0.009646842748101023,-0.004224900490977908,0.0007936875026356058,0.0004613695078209646,-0.0038835181575224585,0.0010111337776020353,-0.0019339070743965528,-0.0030533570656667837
b0041,-0.01895255907128233,-0.0022368244607018943,0.0011656511539139386,-0.011513361967665106,-0.0074986605056834,-0.00786867201979853,-0.003364776330344447,-0.015259648272651109,-0.009300576541782901,0.003297488527098956,0.01249308765313201,0.012487992350983345,-0.012685479349563765,0.00043305206133010583,0.007903994019271585,0.005008616026232773,0.003340592052250154,-0.007689049619451491,0.001603243986242636,0.00792223906521639
b0042,-0.00841489704429038,-0.007261317397068259,-0.0006355746877637778,-0.005448805149538776,-0.000894013719306595,-0.0033269506590087416,0.002360428728282689,-0.015251291903040186,-0.01595232010429178,0.010470359144801242,0.005901789348707036,0.014025479488178831,0.015543643806338816,-0.0036700273766068097,0.0035494860493650044,0.002799481255525193,-0.0020695645827890777,-0.004555929634429749,-0.004006781380029095,0.00563832421948381
b0043,-0.01448002909635722,0.005357452852136012,0.0007337003941530655,-0.0016292199486691806,-0.005224253419753831,-0.003088826460808,0.01219586435869482,-0.018097154312069437,-0.007372571879330389,0.004468463074976058,0.007691840528149855,0.007906502316960433,0.013877739470050733,0.0007284829718934051,-0.005866207985987486,-0.003687058053567461,0.003907327465099583,-0.0006769253812705666,-0.0042800787008202045,0.0016075392092609528
b0044,-0.006039936277967085,0.011420343850719808,-0.0022693086782558393,-0.0020661622820080227,-0.010099471353316142,-0.0034245732686284387,0.00438592011130659,-0.013067885905973567,-0.006955802854997271,0.012634141072305627,0.008782242298707329,0.011786976122734112,0.001616632698143685,0.002565833465656127,-0.005801409243241869,-0.012153767998805668,-0.004199137322511505,-0.010748640290763991,-0.0015308123173588838,0.0044938335330449546
b0045,-0.003024657075622892,0.0034124319461098394,-0.001228418234549935,-0.003446389706845479,-0.008836014527750855,-0.009559900695623838,-0.003198339081098921,-0.011815052006763757,0.0052271744851492725,0.004941435659264083,0.014775898177891036,0.007149701586931421,-0.0013777645100045658,0.0032036139855535256,-0.0017026256264791584,0.007427286954964941,-0.007044569682188167,-0.00026529678582415953,-0.00029957351221935653,0.0010252394549858904
b0046,-0.01104869699382803,0.009199848416696951,-0.014536414003005229,-0.0009948013203849523,0.0003891270348744626,0.022307985934096046,-0.0005457839862738807,-0.01004193503044025,-0.010988173706327174,0.00969848701668746,-0.004965220587474063,-0.0025532403853424372,0.00700546114873105,-0.006197602439684431,-0.003570381420615349,-0.0007947159846988632,0.008439024209070934,0.016840177601648448,-0.0005135371135189655,-0.004848660804561055
b0047,0.0045499205877687675,0.01452962023430431,-0.0023590671044607012,0.001054219697749264,0.005572535549972673,0.01697945508784058,-0.0031164357903977645,-0.0073704501657188585,-0.00031167792584532733,0.0011271381549742292,-0.00561723101439562,-0.0008416831575888877,0.00658825975393474,0.009251894212322464,-0.002526763904051783,0.004944259498120568,-6.738138666059843e-05,0.005979617021997628,-0.004018736901679269,5.942459836070862e-05
b0048,-0.004416005114171603,0.00580655835336926,-0.038335085566137586,0.011309899803451713,-0.010041996617252498,-0.0008328695809178918,0.005903318944798694,0.001959177039479852,-0.0021171151068420787,0.0032495463020135945,0.01788304633509858,-0.010776887982308575,-0.014660207332585915,-0.02014000755050023,0.003780089759840679,0.004759690192959721,-0.0029635304788402776,-0.0055364036972388835,-0.01100018567953517,-0.0038661644145690593
